,Mkt-RF,SMB,HML,RF
20180822,0.05,0.37,-0.35,0.007
20180823,-0.19,-0.06,-0.33,0.007
20180824,0.62,-0.02,-0.57,0.007
20180827,0.74,-0.68,-0.17,0.007
20180828,-0.01,-0.12,-0.28,0.007
20180829,0.56,-0.04,-0.57,0.007
20180830,-0.41,0.28,-0.42,0.007
20180831,0.08,0.5,-0.39,0.007
20180904,-0.11,-0.38,0,0.008
20180905,-0.41,-0.17,0.66,0.008
20180906,-0.44,-0.35,-0.24,0.008
20180907,-0.18,0.1,-0.21,0.008
20180910,0.23,0.12,-0.37,0.008
20180911,0.37,-0.29,-0.24,0.008
20180912,0.03,-0.06,-0.22,0.008
20180913,0.45,-0.44,-0.41,0.008
20180914,0.12,0.26,0.25,0.008
20180917,-0.71,-0.46,0.85,0.008
20180918,0.57,0.05,-0.48,0.008
20180919,0.06,-0.66,1.28,0.008
20180920,0.77,0.3,-0.22,0.008
20180921,-0.13,-0.42,0.3,0.008
20180924,-0.31,0.05,-0.91,0.008
20180925,-0.05,0.28,-0.38,0.008
20180926,-0.4,-0.38,-0.63,0.008
20180927,0.27,-0.26,-0.56,0.008
20180928,-0.03,0.4,-0.2,0.008
20181001,0.16,-1.61,0.34,0.008
20181002,-0.21,-0.98,0.6,0.008
20181003,0.2,0.84,0.5,0.008
20181004,-0.93,-1.06,1.57,0.008
20181005,-0.64,-0.42,0.39,0.008
20181008,-0.17,-0.4,1.22,0.008
20181009,-0.18,-0.29,0.28,0.008
20181010,-3.33,0.29,1.12,0.008
20181011,-1.96,0.46,-0.91,0.008
20181012,1.38,-0.88,-1.74,0.008
20181015,-0.48,0.92,0.52,0.008
20181016,2.24,0.67,-1.44,0.008
20181017,-0.08,-0.68,0.25,0.008
20181018,-1.54,-0.55,0.43,0.008
20181019,-0.25,-1.32,0.72,0.008
20181022,-0.38,0.47,-1.25,0.008
20181023,-0.62,-0.1,-0.41,0.008
20181024,-3.33,-0.93,0.77,0.008
20181025,1.93,0.39,-0.59,0.008
20181026,-1.65,0.57,0.35,0.008
20181029,-0.77,-0.33,1.61,0.008
20181030,1.66,0.41,0.07,0.008
20181031,1.22,-0.66,-0.73,0.008
20181101,1.29,1.36,-1.14,0.008
20181102,-0.53,0.79,0.67,0.008
20181105,0.4,-1.01,1.56,0.008
20181106,0.58,-0.15,0.02,0.008
20181107,2.11,-0.35,-1.06,0.008
20181108,-0.28,-0.25,0.25,0.008
20181109,-1.04,-0.86,0.42,0.008
20181112,-2.06,0.01,0.85,0.008
20181113,-0.13,-0.11,0.16,0.008
20181114,-0.77,0.03,-0.29,0.008
20181115,1.18,0.36,-0.4,0.008
20181116,0.15,0.01,-0.07,0.008
20181119,-1.88,-0.73,2.3,0.008
